name,ruleset,priority,description
JUnit5TestShouldBePackagePrivate,Best Practices,3,"Reports JUnit 5 test classes and methods that are not package-private. Contrary to JUnit 4 tests, which required public visibility to be run by the engine, JUnit 5 tests can also be run if they're package-private. Marking them as such is a good practice to limit their visibility. Test methods are identified as those which use `@Test`, `@RepeatedTest`, `@TestFactory`, `@TestTemplate` or `@ParameterizedTest`."
JUnitAssertionsShouldIncludeMessage,Best Practices,3,"JUnit assertions should include an informative message - i.e., use the three-argument version of assertEquals(), not the two-argument version."
JUnitTestContainsTooManyAsserts,Best Practices,3,"Unit tests should not contain too many asserts. Many asserts are indicative of a complex test, for which it is harder to verify correctness. Consider breaking the test scenario into multiple, shorter test scenarios. Customize the maximum number of assertions used by this Rule to suit your needs. This rule checks for JUnit4, JUnit5 and TestNG Tests, as well as methods starting with ""test""."
JUnitTestsShouldIncludeAssert,Best Practices,3,"JUnit tests should include at least one assertion. This makes the tests more robust, and using assert with messages provide the developer a clearer idea of what the test does."
JUnitUseExpected,Best Practices,3,"In JUnit4, use the @Test(expected) annotation to denote tests that should throw exceptions."
LiteralsFirstInComparisons,Best Practices,3,"Position literals first in all String comparisons, if the second argument is null then NullPointerExceptions can be avoided, they will just return false. Note that switching literal positions for compareTo and compareToIgnoreCase may change the result, see examples."
LooseCoupling,Best Practices,3,"The use of implementation types (i.e., HashSet) as object references limits your ability to use alternate implementations in the future as requirements change. Whenever available, referencing objects by their interface types (i.e, Set) provides much more flexibility."
MethodReturnsInternalArray,Best Practices,3,Exposing internal arrays to the caller violates object encapsulation since elements can be removed or replaced outside of the object that owns it. It is safer to return a copy of the array.
MissingOverride,Best Practices,3,"Annotating overridden methods with @Override ensures at compile time that the method really overrides one, which helps refactoring and clarifies intent."
OneDeclarationPerLine,Best Practices,4,"Java allows the use of several variables declaration of the same type on one line. However, it can lead to quite messy code. This rule looks for several declarations on the same line."
PreserveStackTrace,Best Practices,3,Throwing a new exception from a catch block without passing the original exception into the new exception will cause the original stack trace to be lost making it difficult to debug effectively.
PrimitiveWrapperInstantiation,Best Practices,3,"Reports usages of primitive wrapper constructors. They are deprecated since Java 9 and should not be used. Even before Java 9, they can be replaced with usage of the corresponding static `valueOf` factory method (which may be automatically inserted by the compiler since Java 1.5). This has the advantage that it may reuse common instances instead of creating a new instance each time. Note that for `Boolean`, the named constants `Boolean.TRUE` and `Boolean.FALSE` are preferred instead of `Boolean.valueOf`."
ReplaceEnumerationWithIterator,Best Practices,3,Consider replacing Enumeration usages with the newer java.util.Iterator
ReplaceHashtableWithMap,Best Practices,3,Consider replacing Hashtable usage with the newer java.util.Map if thread safety is not required.
ReplaceVectorWithList,Best Practices,3,Consider replacing Vector usages with the newer java.util.ArrayList if expensive thread-safe operations are not required.
SimplifiableTestAssertion,Best Practices,3,"Reports test assertions that may be simplified using a more specific assertion method. This enables better error messages, and makes the assertions more readable. The rule only applies within test classes for the moment. It replaces the deprecated rules {% rule UseAssertEqualsInsteadOfAssertTrue %}, {% rule UseAssertNullInsteadOfAssertTrue %}, {% rule UseAssertSameInsteadOfAssertTrue %}, {% rule UseAssertTrueInsteadOfAssertEquals %}, and {% rule java/design/SimplifyBooleanAssertion %}."
SwitchStmtsShouldHaveDefault,Best Practices,3,"Switch statements should be exhaustive, to make their control flow easier to follow. This can be achieved by adding a `default` case, or, if the switch is on an enum type, by ensuring there is one switch branch for each enum constant."
SystemPrintln,Best Practices,2,References to System.(out|err).print are usually intended for debugging purposes and can remain in the codebase even in production code. By using a logger one can enable/disable this behaviour at will (and by priority) and avoid clogging the Standard out log.
UnusedAssignment,Best Practices,3,"Reports assignments to variables that are never used before the variable is overwritten, or goes out of scope. Unused assignments are those for which 1. The variable is never read after the assignment, or 2. The assigned value is always overwritten by other assignments before the next read of the variable. The rule doesn't consider assignments to fields except for those of `this` in a constructor, or static fields of the current class in static initializers. The rule may be suppressed with the standard `@SuppressWarnings(""unused"")` tag. The rule subsumes {% rule ""UnusedLocalVariable"" %}, and {% rule ""UnusedFormalParameter"" %}. Those violations are filtered out by default, in case you already have enabled those rules, but may be enabled with the property `reportUnusedVariables`. Variables whose name starts with `ignored` or `unused` are filtered out, as is standard practice for exceptions. Limitations: * The rule currently cannot know which method calls throw exceptions, or which exceptions they throw. In the body of a try block, every method or constructor call is assumed to throw. This may cause false-negatives. The only other language construct that is assumed to throw is the `throw` statement, in particular, things like `assert` statements, or NullPointerExceptions on dereference are ignored. * The rule cannot resolve assignments across constructors, when they're called with the special `this(...)` syntax. This may cause false-negatives. Both of those limitations may be partly relaxed in PMD 7."
UnusedFormalParameter,Best Practices,3,"Reports parameters of methods and constructors that are not referenced them in the method body. Parameters whose name starts with `ignored` or `unused` are filtered out. Removing unused formal parameters from public methods could cause a ripple effect through the code base. Hence, by default, this rule only considers private methods. To include non-private methods, set the `checkAll` property to `true`."
UnusedLocalVariable,Best Practices,3,"Detects when a local variable is declared and/or assigned, but not used. Variables whose name starts with `ignored` or `unused` are filtered out."
UnusedPrivateField,Best Practices,3,"Detects when a private field is declared and/or assigned a value, but not used. Since PMD 6.50.0 private fields are ignored, if the fields are annotated with any annotation or the enclosing class has any annotation. Annotations often enable a framework (such as dependency injection, mocking or e.g. Lombok) which use the fields by reflection or other means. This usage can't be detected by static code analysis. Previously these frameworks where explicitly allowed by listing their annotations in the property ""ignoredAnnotations"", but that turned out to be prone of false positive for any not explicitly considered framework."
UnusedPrivateMethod,Best Practices,3,Unused Private Method detects when a private method is declared but is unused.
UseCollectionIsEmpty,Best Practices,3,The isEmpty() method on java.util.Collection is provided to determine if a collection has any elements. Comparing the value of size() to 0 does not convey intent as well as the isEmpty() method.
UseStandardCharsets,Best Practices,3,"Starting with Java 7, StandardCharsets provides constants for common Charset objects, such as UTF-8. Using the constants is less error prone, and can provide a small performance advantage compared to `Charset.forName(...)` since no scan across the internal `Charset` caches is needed."
UseTryWithResources,Best Practices,3,"Java 7 introduced the try-with-resources statement. This statement ensures that each resource is closed at the end of the statement. It avoids the need of explicitly closing the resources in a finally block. Additionally exceptions are better handled: If an exception occurred both in the `try` block and `finally` block, then the exception from the try block was suppressed. With the `try`-with-resources statement, the exception thrown from the try-block is preserved."
UseVarargs,Best Practices,4,"Java 5 introduced the varargs parameter declaration for methods and constructors. This syntactic sugar provides flexibility for users of these methods and constructors, allowing them to avoid having to deal with the creation of an array. Byte arrays in any method and String arrays in `public static void main(String[])` methods are ignored."
WhileLoopWithLiteralBoolean,Best Practices,3,"`do {} while (true);` requires reading the end of the statement before it is apparent that it loops forever, whereas `while (true) {}` is easier to understand. `do {} while (false);` is redundant, and if an inner variable scope is required, a block `{}` is sufficient. `while (false) {}` will never execute the block and can be removed in its entirety."
AtLeastOneConstructor,Code Style,3,"Each non-static class should declare at least one constructor. Classes with solely static members are ignored, refer to [UseUtilityClassRule](pmd_rules_java_design.html#useutilityclass) to detect those."
AvoidDollarSigns,Code Style,3,Avoid using dollar signs in variable/method/class/interface names.
AvoidProtectedFieldInFinalClass,Code Style,3,Do not use protected fields in final classes since they cannot be subclassed. Clarify your intent by using private or package access modifiers instead.
AvoidProtectedMethodInFinalClassNotExtending,Code Style,3,Do not use protected methods in most final classes since they cannot be subclassed. This should only be allowed in final classes that extend other classes with protected methods (whose visibility cannot be reduced). Clarify your intent by using private or package access modifiers instead.
AvoidUsingNativeCode,Code Style,2,Unnecessary reliance on Java Native Interface (JNI) calls directly reduces application portability and increases the maintenance burden.
BooleanGetMethodName,Code Style,4,"Methods that return boolean results should be named as predicate statements to denote this. I.e, 'isReady()', 'hasValues()', 'canCommit()', 'willFail()', etc. Avoid the use of the 'get' prefix for these methods."
CallSuperInConstructor,Code Style,3,"It is a good practice to call super() in a constructor. If super() is not called but another constructor (such as an overloaded constructor) is called, this rule will not report it."
ClassNamingConventions,Code Style,1,"Configurable naming conventions for type declarations. This rule reports type declarations which do not match the regex that applies to their specific kind (e.g. enum or interface). Each regex can be configured through properties. By default, this rule uses the standard Java naming convention (Pascal case). The rule can detect utility classes and enforce a different naming convention on those. E.g. setting the property `utilityClassPattern` to `[A-Z][a-zA-Z0-9]+(Utils?|Helper|Constants)` reports any utility class, whose name does not end in ""Util(s)"", ""Helper"" or ""Constants"". For this rule, a utility class is defined as: a concrete class that does not inherit from a super class or implement any interface and only has static fields or methods. This rule detects test classes using the following convention: Test classes are top-level classes, that either inherit from JUnit 3 TestCase or have at least one method annotated with the Test annotations from JUnit4/5 or TestNG."
CommentDefaultAccessModifier,Code Style,3,"To avoid mistakes if we want that an Annotation, Class, Enum, Method, Constructor or Field have a default access modifier we must add a comment at the beginning of its declaration. By default, the comment must be `/* default */` or `/* package */`, if you want another, you have to provide a regular expression. This rule ignores by default all cases that have a `@VisibleForTesting` annotation or any JUnit5 annotation. Use the property ""ignoredAnnotations"" to customize the recognized annotations."
ConfusingTernary,Code Style,3,"Avoid negation within an ""if"" expression with an ""else"" clause. For example, rephrase: `if (x != y) diff(); else same();` as: `if (x == y) same(); else diff();`. Most ""if (x != y)"" cases without an ""else"" are often return cases, so consistent use of this rule makes the code easier to read. Also, this resolves trivial ordering problems, such as ""does the error case go first?"" or ""does the common case go first?""."
ControlStatementBraces,Code Style,3,"Enforce a policy for braces on control statements. It is recommended to use braces on 'if ... else' statements and loop statements, even if they are optional. This usually makes the code clearer, and helps prepare the future when you need to add another statement. That said, this rule lets you control which statements are required to have braces via properties. From 6.2.0 on, this rule supersedes WhileLoopMustUseBraces, ForLoopMustUseBraces, IfStmtMustUseBraces, and IfElseStmtMustUseBraces."
EmptyMethodInAbstractClassShouldBeAbstract,Code Style,1,Empty or auto-generated methods in an abstract class should be tagged as abstract. This helps to remove their inapproprate usage by developers who should be implementing their own versions in the concrete subclasses.
EmptyControlStatement,Code Style,3,"Reports control statements whose body is empty, as well as empty initializers. The checked code constructs are the following: - bodies of `try` statements - `finally` clauses of `try` statements - `switch` statements - `synchronized` statements - `if` statements - loop statements: `while`, `for`, `do .. while` - initializers - blocks used as statements (for scoping) This rule replaces the rules EmptyFinallyBlock, EmptyIfStmt, EmptyInitializer, EmptyStatementBlock, EmptySwitchStatements, EmptySynchronizedBlock, EmptyTryBlock, and EmptyWhileStmt. Notice that {% rule java/errorprone/EmptyCatchBlock %} is still an independent rule. EmptyStatementNotInLoop is replaced by {% rule java/codestyle/UnnecessarySemicolon %}."
ExtendsObject,Code Style,4,No need to explicitly extend Object.
FieldDeclarationsShouldBeAtStartOfClass,Code Style,3,"Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes."
FieldNamingConventions,Code Style,1,"Configurable naming conventions for field declarations. This rule reports variable declarations which do not match the regex that applies to their specific kind ---e.g. constants (static final), enum constant, final field. Each regex can be configured through properties. By default this rule uses the standard Java naming convention (Camel case), and uses the ALL_UPPER convention for constants and enum constants."
FinalParameterInAbstractMethod,Code Style,1,Declaring a method parameter as final for an interface method is useless because the implementation may choose to not respect it.
ForLoopShouldBeWhileLoop,Code Style,3,"Some for loops can be simplified to while loops, this makes them more concise."
FormalParameterNamingConventions,Code Style,1,"Configurable naming conventions for formal parameters of methods and lambdas. This rule reports formal parameters which do not match the regex that applies to their specific kind (e.g. lambda parameter, or final formal parameter). Each regex can be configured through properties. By default this rule uses the standard Java naming convention (Camel case)."
GenericsNaming,Code Style,4,Names for references to generic values should be limited to a single uppercase letter.
IdenticalCatchBranches,Code Style,3,Identical `catch` branches use up vertical space and increase the complexity of code without adding functionality. It's better style to collapse identical branches into a single multi-catch branch.
LinguisticNaming,Code Style,3,"This rule finds Linguistic Naming Antipatterns. It checks for fields, that are named, as if they should be boolean but have a different type. It also checks for methods, that according to their name, should return a boolean, but don't. Further, it checks, that getters return something and setters won't. Finally, it checks that methods, that start with ""to"" - so called transform methods - actually return something, since according to their name, they should convert or transform one object into another. There is additionally an option, to check for methods that contain ""To"" in their name - which are also transform methods. However, this is disabled by default, since this detection is prone to false positives. For more information, see [Linguistic Antipatterns - What They Are and How Developers Perceive Them](https://doi.org/10.1007/s10664-014-9350-8)."
LocalHomeNamingConvention,Code Style,4,The Local Home interface of a Session EJB should be suffixed by 'LocalHome'.
LocalInterfaceSessionNamingConvention,Code Style,4,The Local Interface of a Session EJB should be suffixed by 'Local'.
LocalVariableCouldBeFinal,Code Style,3,A local variable assigned only once can be declared final.
LocalVariableNamingConventions,Code Style,1,"Configurable naming conventions for local variable declarations and other locally-scoped variables. This rule reports variable declarations which do not match the regex that applies to their specific kind (e.g. final variable, or catch-clause parameter). Each regex can be configured through properties. By default this rule uses the standard Java naming convention (Camel case)."
LongVariable,Code Style,3,"Fields, formal arguments, or local variable names that are too long can make the code difficult to follow."
MDBAndSessionBeanNamingConvention,Code Style,4,The EJB Specification states that any MessageDrivenBean or SessionBean should be suffixed by 'Bean'.
MethodArgumentCouldBeFinal,Code Style,3,A method argument that is never re-assigned within the method can be declared final.
MethodNamingConventions,Code Style,1,Configurable naming conventions for method declarations. This rule reports method declarations which do not match the regex that applies to their specific kind (e.g. JUnit test or native method). Each regex can be configured through properties. By default this rule uses the standard Java naming convention (Camel case).
NoPackage,Code Style,3,"Detects when a class, interface, enum or annotation does not have a package definition."
UseUnderscoresInNumericLiterals,Code Style,3,"Since Java 1.7, numeric literals can use underscores to separate digits. This rule enforces that numeric literals above a certain length use these underscores to increase readability. The rule only supports decimal (base 10) literals for now. The acceptable length under which literals are not required to have underscores is configurable via a property. Even under that length, underscores that are misplaced (not making groups of 3 digits) are reported."
OnlyOneReturn,Code Style,3,"A method should have only one exit point, and that should be the last statement in the method."
PackageCase,Code Style,3,Detects when a package definition contains uppercase characters.
PrematureDeclaration,Code Style,3,Checks for variables that are defined before they might be used. A reference is deemed to be premature if it is created right before a block of code that doesn't use it that also has the ability to return or throw an exception.
RemoteInterfaceNamingConvention,Code Style,4,Remote Interface of a Session EJB should not have a suffix.
RemoteSessionInterfaceNamingConvention,Code Style,4,A Remote Home interface type of a Session EJB should be suffixed by 'Home'.
ShortClassName,Code Style,4,Short Classnames with fewer than e.g. five characters are not recommended.
ShortMethodName,Code Style,3,Method names that are very short are not helpful to the reader.
ShortVariable,Code Style,3,"Fields, local variables, or parameter names that are very short are not helpful to the reader."
TooManyStaticImports,Code Style,3,"If you overuse the static import feature, it can make your program unreadable and unmaintainable, polluting its namespace with all the static members you import. Readers of your code (including you, a few months after you wrote it) will not know which class a static member comes from (Sun 1.5 Language Guide)."
UnnecessaryAnnotationValueElement,Code Style,3,Avoid the use of value in annotations when it's the only element.
UnnecessaryCast,Code Style,3,This rule detects when a cast is unnecessary while accessing collection elements. This rule is mostly useful for old java code before generics where introduced with java 1.5.
UnnecessaryConstructor,Code Style,3,"This rule detects when a constructor is not necessary; i.e., when there is only one constructor and the constructor is identical to the default constructor. The default constructor should has same access modifier as the declaring class. In an enum type, the default constructor is implicitly private."
UnnecessaryFullyQualifiedName,Code Style,4,Import statements allow the use of non-fully qualified names. The use of a fully qualified name which is covered by an import statement is redundant. Consider using the non-fully qualified name.
UnnecessaryImport,Code Style,4,"Reports import statements that can be removed. They are either unused, duplicated, or the members they import are already implicitly in scope, because they're in java.lang, or the current package."
UnnecessaryLocalBeforeReturn,Code Style,3,Avoid the creation of unnecessary local variables
UnnecessaryModifier,Code Style,3,"Fields in interfaces and annotations are automatically `public static final`, and methods are `public abstract`. Classes, interfaces or annotations nested in an interface or annotation are automatically `public static` (all nested interfaces and annotations are automatically static). Nested enums are automatically `static`. For historical reasons, modifiers which are implied by the context are accepted by the compiler, but are superfluous."
UnnecessaryReturn,Code Style,3,Avoid the use of unnecessary return statements.
UnnecessarySemicolon,Code Style,3,"Reports unnecessary semicolons (so called ""empty statements"" and ""empty declarations""). These can be removed without changing the program. The Java grammar allows them for historical reasons, but they should be avoided. This rule will not report empty statements that are syntactically required, for instance, because they are the body of a control statement. This rule replaces EmptyStatementNotInLoop."
UseDiamondOperator,Code Style,3,"Use the diamond operator to let the type be inferred automatically. With the Diamond operator it is possible to avoid duplication of the type parameters. Instead, the compiler is now able to infer the parameter types for constructor calls, which makes the code also more readable. The diamond operator has been introduced with java 7. However, type inference has been improved further with java8, rendering more type parameters unnecessary. This is only possible with java8 and the resulting code won't compile with java7. If you use java7, make sure to enable `java7Compatibility` for this rule to avoid false positives."
UselessParentheses,Code Style,4,Useless parentheses should be removed.
UselessQualifiedThis,Code Style,3,Reports qualified this usages in the same class.
UseShortArrayInitializer,Code Style,3,"When declaring and initializing array fields or variables, it is not necessary to explicitly create a new array using `new`. Instead one can simply define the initial content of the array as a expression in curly braces. E.g. `int[] x = new int[] { 1, 2, 3 };` can be written as `int[] x = { 1, 2, 3 };`."
AbstractClassWithoutAnyMethod,Design,1,"If an abstract class does not provide any methods, it may be acting as a simple data container that is not meant to be instantiated. In this case, it is probably better to use a private or protected constructor in order to prevent instantiation than make the class misleadingly abstract."
AvoidCatchingGenericException,Design,3,"Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block."
AvoidDeeplyNestedIfStmts,Design,3,Avoid creating deeply nested if-then statements since they are harder to read and error-prone to maintain.
AvoidRethrowingException,Design,3,Catch blocks that merely rethrow a caught exception only add to code size and runtime complexity.
AvoidThrowingNewInstanceOfSameException,Design,3,Catch blocks that merely rethrow a caught exception wrapped inside a new instance of the same type only add to code size and runtime complexity.
AvoidThrowingNullPointerException,Design,1,"Avoid throwing NullPointerExceptions manually. These are confusing because most people will assume that the virtual machine threw it. To avoid a method being called with a null parameter, you may consider using an IllegalArgumentException instead, making it clearly seen as a programmer-initiated exception. However, there are better ways to handle this: >*Effective Java, 3rd Edition, Item 72: Favor the use of standard exceptions* > >Arguably, every erroneous method invocation boils down to an illegal argument or state, but other exceptions are standardly used for certain kinds of illegal arguments and states. If a caller passes null in some parameter for which null values are prohibited, convention dictates that NullPointerException be thrown rather than IllegalArgumentException. To implement that, you are encouraged to use `java.util.Objects.requireNonNull()` (introduced in Java 1.7). This method is designed primarily for doing parameter validation in methods and constructors with multiple parameters. Your parameter validation could thus look like the following: ``` public class Foo { private String exampleValue; void setExampleValue(String exampleValue) { // check, throw and assignment in a single standard call this.exampleValue = Objects.requireNonNull(exampleValue, ""exampleValue must not be null!""); } } ```"
AvoidThrowingRawExceptionTypes,Design,1,"Avoid throwing certain exception types. Rather than throw a raw RuntimeException, Throwable, Exception, or Error, use a subclassed exception or error instead."
AvoidUncheckedExceptionsInSignatures,Design,3,"A method or constructor should not explicitly declare unchecked exceptions in its `throws` clause. Java doesn't force the caller to handle an unchecked exception, so it's unnecessary except for documentation. A better practice is to document the exceptional cases with a `@throws` Javadoc tag, which allows being more descriptive."
ClassWithOnlyPrivateConstructorsShouldBeFinal,Design,1,"A class with only private constructors should be final, unless the private constructor is invoked by an inner class."
CollapsibleIfStatements,Design,3,Sometimes two consecutive 'if' statements can be consolidated by separating their conditions with a boolean short-circuit operator.
CouplingBetweenObjects,Design,3,"This rule counts the number of unique attributes, local variables, and return types within an object. A number higher than the specified threshold can indicate a high degree of coupling."
CognitiveComplexity,Design,3,"Methods that are highly complex are difficult to read and more costly to maintain. If you include too much decisional logic within a single method, you make its behavior hard to understand and more difficult to modify. Cognitive complexity is a measure of how difficult it is for humans to read and understand a method. Code that contains a break in the control flow is more complex, whereas the use of language shorthands doesn't increase the level of complexity. Nested control flows can make a method more difficult to understand, with each additional nesting of the control flow leading to an increase in cognitive complexity. Information about Cognitive complexity can be found in the original paper here: <https://www.sonarsource.com/docs/CognitiveComplexity.pdf> By default, this rule reports methods with a complexity of 15 or more. Reported methods should be broken down into less complex components."
CyclomaticComplexity,Design,3,"The complexity of methods directly affects maintenance costs and readability. Concentrating too much decisional logic in a single method makes its behaviour hard to read and change. Cyclomatic complexity assesses the complexity of a method by counting the number of decision points in a method, plus one for the method entry. Decision points are places where the control flow jumps to another place in the program. As such, they include all control flow statements, such as `if`, `while`, `for`, and `case`. For more details on the calculation, see the documentation of the [Cyclo metric](pmd_java_metrics_index.html#cyclomatic-complexity-cyclo). Generally, numbers ranging from 1-4 denote low complexity, 5-7 denote moderate complexity, 8-10 denote high complexity, and 11+ is very high complexity. By default, this rule reports methods with a complexity >= 10. Additionally, classes with many methods of moderate complexity get reported as well once the total of their methods' complexities reaches 80, even if none of the methods was directly reported. Reported methods should be broken down into several smaller methods. Reported classes should probably be broken down into subcomponents."
DataClass,Design,3,"Data Classes are simple data holders, which reveal most of their state, and without complex functionality. The lack of functionality may indicate that their behaviour is defined elsewhere, which is a sign of poor data-behaviour proximity. By directly exposing their internals, Data Classes break encapsulation, and therefore reduce the system's maintainability and understandability. Moreover, classes tend to strongly rely on their data representation, which makes for a brittle design. Refactoring a Data Class should focus on restoring a good data-behaviour proximity. In most cases, that means moving the operations defined on the data back into the class. In some other cases it may make sense to remove entirely the class and move the data into the former client classes."
DoNotExtendJavaLangError,Design,3,Errors are system exceptions. Do not extend them.
ExceptionAsFlowControl,Design,3,Using Exceptions as form of flow control is not recommended as they obscure true exceptions when debugging. Either add the necessary validation or use an alternate control structure.
ExcessiveImports,Design,3,A high number of imports can indicate a high degree of coupling within an object. This rule counts the number of unique imports and reports a violation if the count is above the user-specified threshold.
ExcessiveParameterList,Design,3,"Methods with numerous parameters are a challenge to maintain, especially if most of them share the same datatype. These situations usually denote the need for new objects to wrap the numerous parameters."
ExcessivePublicCount,Design,3,Classes with large numbers of public methods and attributes require disproportionate testing efforts since combinational side effects grow rapidly and increase risk. Refactoring these classes into smaller ones not only increases testability and reliability but also allows new variations to be developed easily.
FinalFieldCouldBeStatic,Design,3,"If a final field is assigned to a compile-time constant, it could be made static, thus saving overhead in each object at runtime."
GodClass,Design,3,"The God Class rule detects the God Class design flaw using metrics. God classes do too many things, are very big and overly complex. They should be split apart to be more object-oriented. The rule uses the detection strategy described in ""Object-Oriented Metrics in Practice"". The violations are reported against the entire class. See also the references: Michele Lanza and Radu Marinescu. Object-Oriented Metrics in Practice: Using Software Metrics to Characterize, Evaluate, and Improve the Design of Object-Oriented Systems. Springer, Berlin, 1 edition, October 2006. Page 80."
